ticker,name,node,window,n_weeks,actual,factor,idio,idio_share
WMB,Williams Companies,midstream_gpt,1m,4,0.013925198019434901,0.07768936024844586,-0.06376416222901096,-4.579048868103534
WMB,Williams Companies,midstream_gpt,3m,13,0.10448536411604671,0.13961962187498592,-0.035134257758939205,-0.33626008825424897
WMB,Williams Companies,midstream_gpt,ytd,19,0.22167078550511435,0.17198561691820904,0.049685168586905304,0.22413945289943937
WMB,Williams Companies,midstream_gpt,1y,52,0.2784810286208992,0.2862392020702618,-0.0077581734493626375,-0.02785889397128006
KMI,Kinder Morgan,midstream_gpt,1m,4,-0.02503629552542743,0.0721802803957474,-0.09721657592117483,3.8830255787019077
KMI,Kinder Morgan,midstream_gpt,3m,13,0.0440003173501557,0.1477407607199741,-0.10374044336981841,-2.357720344247729
KMI,Kinder Morgan,midstream_gpt,ytd,19,0.16853385461041623,0.18387752598871768,-0.015343671378301449,-0.09104207231104969
KMI,Kinder Morgan,midstream_gpt,1y,52,0.18589644465284735,0.29221105819417686,-0.10631461354132951,-0.5719023499339481
OKE,ONEOK,midstream_gpt,1m,4,0.004811300645513078,0.07784401188882961,-0.07303271124331653,-15.179411270302838
OKE,ONEOK,midstream_gpt,3m,13,0.05683136070129381,0.2371662836411556,-0.1803349229398618,-3.1731586348548633
OKE,ONEOK,midstream_gpt,ytd,19,0.18679887867162093,0.3003566501927436,-0.11355777152112267,-0.6079146316544497
OKE,ONEOK,midstream_gpt,1y,52,0.09294621494928264,0.4666872019109866,-0.373740986961704,-4.021045796922885
TRGP,Targa Resources,midstream_gpt,1m,4,0.031036905126482578,0.08569960827874774,-0.054662703152265166,-1.7612162981296617
TRGP,Targa Resources,midstream_gpt,3m,13,0.17052737121729133,0.2711819468751164,-0.10065457565782504,-0.5902546608166956
TRGP,Targa Resources,midstream_gpt,ytd,19,0.320503719411053,0.356580379358329,-0.03607665994727599,-0.11256237529339524
TRGP,Targa Resources,midstream_gpt,1y,52,0.46963763207130416,0.5212579960987545,-0.051620364027450294,-0.10991530597704077
AM,Antero Midstream,midstream_gpt,1m,4,-0.029946499559926076,0.08633222785879409,-0.11627872741872017,3.8828821106798905
AM,Antero Midstream,midstream_gpt,3m,13,0.10859057209550707,0.1807401005938209,-0.07214952849831383,-0.6644179794435304
AM,Antero Midstream,midstream_gpt,ytd,19,0.19926668950656146,0.22301701914994496,-0.0237503296433835,-0.11918865969116955
