ticker,name,node,beta_to_basket,alpha_annual,r2,resid_std_daily,cum_resid_60d,cum_resid_20d,z_resid_60d,z_resid_20d,n_obs
NVGS,Navigator Holdings,tanker_shipping,0.7210575172032593,-0.08949615062398557,0.41823716615666806,0.01724537008960621,0.035093061173170376,0.08139432706317008,0.262707885816926,1.0553745576373135,1254
LPG,Dorian LPG,tanker_shipping,0.8987065536435738,0.0993147433690383,0.44156214384659354,0.020230807538516533,-0.07256804306205424,0.04341788796118966,-0.463080579311381,0.47988864871485404,1254
GLNG,Golar LNG,tanker_shipping,0.6637440658959066,0.13108550983732511,0.2981261734845264,0.020719778101170993,0.02384346706816836,-0.06300448849279525,0.14856232278800655,-0.6799412545326987,1254
FLNG,FLEX LNG,tanker_shipping,0.6397531729509893,0.12022609727475553,0.26969962192925356,0.021462006365458475,0.007943258934747226,0.0034599993449480476,0.047780729420218375,0.03604879061941003,1254
TK,Teekay Corporation,tanker_shipping,0.9651799091380298,0.027154327300885635,0.6067675193213111,0.015469893983160623,-0.025573661184548183,-0.001874939251819207,-0.21341745883352672,-0.027100971896213237,1254
SFL,SFL Corporation,tanker_shipping,0.6235098221741275,-0.040588555859359436,0.43813220664650654,0.014436220215742137,0.09974403767181074,0.022740963935290605,0.8919855544208527,0.35224137948332623,1254
LNG,Cheniere Energy,lng_terminals,0.419389460975913,0.1829630730485242,0.32142397941573975,0.015600789818569003,0.09586534411253425,-0.03528640229842685,0.7933035988224192,-0.5057615360394919,1254
CQP,Cheniere Energy Partners,lng_terminals,0.3883902452224682,0.08746359692984464,0.23825710845204673,0.017792158911593685,0.044762667153934274,0.006550415614658248,0.32479675509576195,0.08232376221475604,1254
VG,Venture Global,lng_terminals,1.5960188689421597,-0.6895623575660194,0.2719974452008673,0.049707787910900296,0.11893174370941993,-0.06710610127362607,0.308885644202367,-0.30187182021010467,321
NEXT,NextDecade,lng_terminals,1.143351158409902,0.0745907575923448,0.17802909593935223,0.04580803927504453,0.20635609848452185,-0.0069071017246565974,0.5815673008982721,-0.033716241140782095,1254
EE,Excelerate Energy,lng_terminals,0.5635334198016942,0.008326741062032622,0.20719344176612953,0.024990647170296837,-0.23390665920954626,0.034212250435296326,-1.2083408504953708,0.30611819339955365,1018
WMB,Williams Companies,midstream_gpt,0.8647672485739892,0.025909508416534565,0.6786777934653332,0.008408778537402383,-0.010295145937915988,-0.013980101679465248,-0.15806072422595077,-0.3717597930376718,1254
KMI,Kinder Morgan,midstream_gpt,0.8134447898552366,-0.05962364566093033,0.6590227479511536,0.008309608721302625,-0.051555504368389474,-0.05290354595659209,-0.8009747771966295,-1.423604034525224,1254
OKE,ONEOK,midstream_gpt,1.0543591774388683,-0.14761846607638343,0.6727794614957041,0.010225738401270881,-0.044000886246749034,-0.018085549865877924,-0.5555090268781842,-0.3954777378769947,1254
TRGP,Targa Resources,midstream_gpt,1.2570354806903512,0.07060742970127493,0.7034790458608333,0.011160135838296257,-0.007487504137735334,-0.008540194522726125,-0.08661477258666042,-0.17111310982754416,1254
AM,Antero Midstream,midstream_gpt,0.9545178812550651,-0.029292323930392036,0.6262302227739132,0.010323429470186711,-0.01880737454353127,-0.07704117494403016,-0.23519525368108937,-1.6687216659813078,1254
DTM,DT Midstream,midstream_gpt,0.8676519978823761,0.07228316896073465,0.5635169005980196,0.010799650816495804,-0.006015621104118815,0.04899018529166069,-0.07191096807734798,1.0143419116397707,1216
HESM,Hess Midstream,midstream_gpt,0.8491138513526375,-0.0591972110185456,0.4786746595752488,0.012522396740596057,-0.02810296425265685,-0.05549788449787118,-0.2897270514164675,-0.9910007238659395,1254
KNTK,Kinetik Holdings,midstream_gpt,1.1719313026167175,-0.1698745556719476,0.42431568051038016,0.01869118451314373,0.06614491223571445,0.06298682065753518,0.45686090385751565,0.7535253454792836,1254
AROC,Archrock,midstream_gpt,1.2789791933337475,-0.019447797865561275,0.5741136676402115,0.014989272769212483,0.07302374107900367,0.06915363548969197,0.6289380799884365,1.0316192935243873,1254
KGS,Kodiak Gas Services,midstream_gpt,1.2768916152308551,0.19607773138418047,0.41429199225125146,0.018266888087076,0.18533120676038956,0.1404306466507571,1.3098101765590306,1.7190255424924452,715
USAC,USA Compression Partners,midstream_gpt,0.7549843735573432,-0.0009391814680622742,0.36883462375545983,0.014090027284494044,-0.057050864690830275,-0.0477390739971016,-0.5227268061609309,-0.7576125474071072,1254
KRP,Kimbell Royalty Partners,midstream_gpt,0.7530771422028597,-0.07768396698466401,0.3612577020917218,0.014255027070870676,-0.0048482940676693835,-0.00782574959607998,-0.043908164439687834,-0.12275604939035413,1254
EPD,Enterprise Products,midstream_pipelines,0.5953874430597687,0.021821866387855552,0.5474983125605094,0.007277569636323945,0.01981335439429123,-0.021287953078226906,0.351476273152992,-0.654082510556171,1254
ET,Energy Transfer,midstream_pipelines,0.9224354496623307,-0.0013486852209579148,0.5742586598802377,0.010356834588384666,0.013346306364170689,0.010768408875221538,0.1663636440287982,0.23249279544844928,1254
MPLX,MPLX,midstream_pipelines,0.6749921032066206,0.05894926937709648,0.5409460059696267,0.008297672040303655,-0.06822749327122514,-0.03343074381641815,-1.0615183949965783,-0.9008962435343022,1254
PAA,Plains All American,midstream_pipelines,1.060926130036512,-0.0035713989128090618,0.6425229358056618,0.010183789170844622,0.06931255507486575,0.005052744094313461,0.8786721948793547,0.11094376639435528,1254
PAGP,Plains GP Holdings,midstream_pipelines,1.091567661940184,-0.005728527285195501,0.6458720990072377,0.010375650969464453,0.05903651113112179,-0.013012216365312235,0.7345641094453832,-0.2804277092242552,1254
WES,Western Midstream,midstream_pipelines,1.0309793072585607,-0.031104766318328852,0.5157022771636701,0.012861731332171606,-0.07164520485301254,-0.015612885314721527,-0.7191377222475533,-0.2714368072772594,1254
SUN,Sunoco LP,midstream_pipelines,0.67118423079957,0.03230306188703112,0.3662447259960119,0.011754285864988718,0.07418034327502267,-0.0020959194577631728,0.8147361096484838,-0.039871570563742215,1254
DKL,Delek Logistics,midstream_pipelines,0.6904915995484899,-0.023655696249805645,0.21547331739964826,0.017428767281761702,-0.07334266026018169,0.052381070400783256,-0.5432682972965829,0.6720362505093603,1254
GEL,Genesis Energy,midstream_pipelines,1.3475423451557944,-0.16733300577324156,0.4111347207916508,0.0201002226333363,-0.13871055303196264,-0.11350613942639466,-0.8909083108778182,-1.2627096139723686,1254
NGL,NGL Energy Partners,midstream_pipelines,1.090728751371445,0.14977260881075916,0.13672737366821264,0.03452285539714206,0.15478784595004014,0.14898647552771754,0.5788346518689691,0.9649951696511877,1254
GLP,Global Partners,midstream_pipelines,0.8817610920832288,-0.0030202013721161818,0.2559374054424497,0.019591257499963363,-0.051483646549468874,-0.022533229592769495,-0.33925898782232294,-0.25718529360423503,1254
VLO,Valero Energy,downstream_refiners,0.9788664795411155,0.04827889816623144,0.7600912584723132,0.01141364360485636,-0.036019396786124994,-0.060996332346333185,-0.407414519916446,-1.1949904011943846,1254
MPC,Marathon Petroleum,downstream_refiners,0.8379499271104478,0.13934274423939957,0.7185037088732145,0.01102793433747265,-0.0007849994108003397,0.013531495293227114,-0.00918966191302488,0.2743699988316086,1254
PSX,Phillips 66,downstream_refiners,0.8270610929025953,-0.00035019260980665074,0.6864620481398418,0.011762342498631648,-0.0687824328625643,-0.013802672451062412,-0.7549324380449207,-0.26239427967115964,1254
DINO,HF Sinclair,downstream_refiners,1.0043690307125073,-0.046854876958863347,0.7176987616705467,0.013038767095894908,0.0374787925834127,0.17850523135653942,0.3710850329226285,3.061254401715761,1254
PBF,PBF Energy,downstream_refiners,1.637277210296141,-0.1476902218039878,0.6983981948584761,0.02100573905374828,-0.09745770580494437,-0.09838103912886109,-0.5989665817459516,-1.0472694658650703,1254
PARR,Par Pacific,downstream_refiners,1.2293594624975859,0.04288078369986735,0.5976188174053257,0.020397549304917256,0.17299645485001752,-0.027886821856598326,1.0949230200341122,-0.30570745737944277,1254
CVI,CVR Energy,downstream_refiners,1.3456052735340998,-0.13326375733740609,0.6374453756856435,0.020341428623893716,0.07384094001496144,-0.04545751773364833,0.4686408482478617,-0.4996999061385638,1254
DK,Delek US,downstream_refiners,1.3701204779473102,-0.147353527098481,0.6757398726796264,0.018983460301237574,0.05110055002290473,0.014857483634875695,0.3475158130291746,0.17500678408986836,1254
CLMT,Calumet,downstream_refiners,0.6233496546971028,0.23380514333464808,0.12948945834653047,0.03432659640838754,0.12588073521708637,-0.046851916797533776,0.4734268682936811,-0.3051979566778463,1254
WKC,World Kinect,downstream_refiners,0.5558266261845913,-0.14915853967762815,0.28165424064134503,0.019098034678841375,-0.10320598514061072,0.108094385386595,-0.6976547908379945,1.2656087276785168,1254
CAPL,CrossAmerica Partners,downstream_refiners,0.2507146457370058,0.044973635322765576,0.12231263923214097,0.01489189626700319,-0.1017249774045749,-0.02721123793077465,-0.8818647321501203,-0.4085858286560397,1254
WLK,Westlake Corp,petrochem,0.9570906191884849,0.037769510238335954,0.6738007642829775,0.013254565287019527,-0.19701207051616904,-0.2187168338795482,-1.91889725436264,-3.689790632795412,1254
LYB,LyondellBasell,petrochem,0.832155533914805,0.007900879842385668,0.692306677198514,0.011502388837054532,0.1817264753392892,0.0286612976210531,2.0396447570574714,0.557176519694488,1254
